category,gi,gl,name
cheese,41,16,"Yoghurt, strawberry and cream"
cheese,11,1,"Yoghurt, summer fruit: apricot"
cheese,26,3,"Yoghurt, summer fruit: peach and vanilla"
cheese,28,3,"Yoghurt, summer fruit: raspberry"
cheese,36,5,"Yoghurt, summer fruit: strawberry"
cheese,41,7,"Yoghurt, toffee"
cheese,24,3,"Yoghurt, tropical fruit: guava and passionfruit"
cheese,32,4,"Yoghurt, tropical fruit: mango"
cheese,27,3,"Yoghurt, tropical fruit: peach and apricot"
cheese,38,5,"Yoghurt, tropical pineapple"
cheese,34,11,"Yoghurt, Valencia orange"
cheese,47,7,"Yoghurt, vanilla"
cheese,54,17,"Yoghurt, white peach"
cheese,51,11,"Mochaccino frozen yoghurt, President's Choice® Blue Menu™ brand"
cheese,55,11,"Strawberry Banana frozen yoghurt, President's Choice® Blue Menu™ brand"
cheese,46,10,"Vanilla frozen yoghurt, President's Choice® Blue Menu™ brand"
cheese,14,2,"Low-fat yoghurt, fruit, aspartame, Ski™"
cheese,33,10,"Low-fat yoghurt, fruit, sugar, Ski™"
cheese,33,10,"Low-fat yoghurt, sugar-sweetened, strawberry classic, Yoplait™ Lite"
cheese,31,9,"Low-fat (0.9%) yoghurt, fruit, wild strawberry, Ski d'lite™"
cheese,32,4,"Low-fat yoghurt, Nestlé Diet Blueberry"
cheese,28,3,"Low-fat yoghurt, Nestlé Diet Mixed Berry"
cheese,28,3,"Low-fat yoghurt, Nestlé Diet Peaches & Cream"
cheese,42,12,"Low-fat yoghurt, apricot"
cheese,41,11,"Low-fat yoghurt, black cherry"
cheese,53,15,"Low-fat yoghurt, hazelnut"
cheese,56,16,"Low-fat yoghurt, peach melba"
cheese,34,10,"Low-fat yoghurt, raspberry"
cheese,61,18,"Low-fat yoghurt, strawberry"
cheese,32,11,"Heavenly Honey flavor, Vaalia®, low-fat, sugar sweetened yoghurt"
cheese,43,17,"Lemon Crème flavor, Vaalia®, low-fat, sugar sweetened yoghurt"
cheese,29,9,"Luscious Berries flavor, Vaalia®, low-fat, sugar sweetened yoghurt"
cheese,32,11,"Passionfruit flavor, Vaalia®, low-fat, sugar sweetened yoghurt"
cheese,28,8,"Strawberry flavor, Vaalia®, low-fat, sugar sweetened yoghurt"
cheese,19,2,Fat-Free Natural yoghurt
cheese,12,1,"Greek Style yoghurt, Premium blend"
cheese,11,1,Leben European Style yoghurt
cheese,35,12,"Yoghurt, low fat, natural"
cheese,27,5,"Passionfruit yoghurt, fat-free"
cheese,23,4,"Diet Vaalia™ yoghurt, exotic fruits, sweetened with acesulfame K and Splenda"
cheese,23,3,"Diet Vaalia™ yoghurt, mango, sweetened with acesulfame K and Splenda"
cheese,25,3,"Diet Vaalia™ yoghurt, mixed berry, sweetened with acesulfame K and Splenda"
cheese,23,3,"Diet Vaalia™ yoghurt, strawberry, sweetened with acesulfame K and Splenda"
cheese,23,3,"Diet Vaalia™ yoghurt, vanilla, sweetened with acesulfame K and Splenda"
cheese,40,14,"Ski™, Honey flavor non-fat, sugar sweetened yoghurt"
cheese,40,12,"Ski™, vanilla flavor non-fat, sugar sweetened yoghurt"
cheese,16,2,"Yoplait™ No Fat berry fruit flavors, artificially sweetened yoghurts"
cheese,19,2,"Yoplait™ No Fat Strawberry Classic flavor, artificially sweetened yoghurts"
cheese,20,3,"Yoplait™ No Fat tropical fruit flavors, artificially sweetened yoghurts"
